Driver,Symbol,XL,VL,L,N,H,VH,XH
PERS,EM1,2.12,1.62,1.26,1.00,0.83,0.63,0.50
RCPX,EM2,0.49,0.60,0.83,1.00,1.33,1.91,2.72
PDIF,EM3,,,0.87,1.00,1.29,1.81,2.61
PREX,EM4,1.59,1.33,1.12,1.00,0.87,0.74,0.62
FCIL,EM5,1.43,1.30,1.10,1.0,0.87,0.73,0.62
RUSE,EM6,,,0.95,1.00,1.07,1.15,1.24
SCED,EM7,,1.43,1.14,1.00,1.00,1.00,
